公司代號,公司名稱,產業類別,直接(範疇一)溫室氣體排放量(公噸CO₂e),能源間接(範疇二)溫室氣體排放量(公噸CO₂e),其他間接(範疇三)溫室氣體排放量(公噸CO₂e),溫室氣體排放密集度,再生能源使用率,用水量(公噸(t)),用水密集度,有害廢棄物(公噸(t)),非有害廢棄物(公噸(t)),總重量(有害+非有害)(公噸(t)),廢棄物密集度,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數,職業災害比率,火災件數,火災死傷人數,火災比率(死傷人數/員工總人數),董事會席次(席),獨立董事席次(席),女性董事比率,董事出席董事會出席率,公司年度召開法說會次數(次),ESG,E,S,G
1310,台苯,塑膠工業,174823.14,25923.75,532749.22,21.04,0.0022,1210891,3.7515,0,4710,4710,0.0175,1170,929,912,799,0.2,0,0,0,0,0,11,4,0.0909,0.9273,1,64,78,40,70
1312,國喬,塑膠工業,412173,20396,426177.83,32.262,0.0011,1973000,154,0,18745.51,18745.51,1.467,1137,976,891,798,0.3,0,0,0,0,0,6,2,0.1667,0.9714,1,54,55,40,67
1313,聯成,塑膠工業,39048.38,15640.29,7016.5,9.888,0.3437,156530,27.668,475.95,2959.24,3435.19,0.3318,1478,1258,1233,1127,0.0708,2,0.0149,0,0,0,10,3,0,0.98,2,55,49,53,65
1314,中石化,塑膠工業,712338,180691,1426722,33.81,0.0005,5881000,222.7,25930,15103,41033,1.55,948,780,760,699,0.0533,2,0.0017,0,0,0,9,3,0,0.875,2,74,96,48,72
1315,達新,塑膠工業,3445,2174,210,13.0418,0.0574,7517,20.3542,0,65,65,0.13965,770,649,624,558,0.4565,0,0,0,0,0,9,3,0,0.9667,1,67,70,70,60
1316,上曜,建材營造,6.639,97.853,389.17695,0.00165,0,3.414,0.00615,0,3423.6,3423.6,0.4376,1099,956,719,541,0.35,0,0,0,0,0,7,4,0.4286,1,2,60,31,68,75
1319,東陽,汽車工業,11642.81,53156.86,7398.775,3.5594,0.0378,829756,45.5773,274,2666,2940,0.1615,822,693,748,630,0.1307,1,0.0003,0,0,0,7,3,0.1429,0.9683,8,66,55,70,70
1321,大洋,塑膠工業,3159,43344,13823,0.4394,0.3437,119.2,0.8683,9.32,606.17,615.49,0.0044,912,756,764,710,0.1071,10,0.0221,0,0,0,10,4,0.2,1,1,61,63,50,70
1323,永裕,塑膠工業,309.06,11284.25,7016.5,6.879,0.3437,74492,44.2011,0,102.04,102.04,0.0605,721,610,601,551,0.268,4,0.0057,0,0,0,11,4,0,0.9886,1,62,63,60,63
1324,地球,塑膠工業,3780.11,1948.21,7016.5,6.2196,0.3437,36692.78,39.8401,174.92,78.27,253.19,0.2749,708,586,587,481,0.3214,0,0,0,0,0,5,3,0,1,1,62,59,65,63
1325,恆大,塑膠工業,16937,22263.53,7016.5,18.98845,0.02895,88461.5,25.4875,309.1,7473.745,7782.845,0.439,618,502,506,465,0.6667,0,0,0,0,0,7,4,0.4286,0.9796,1,50,25,75,59
1326,台化,塑膠工業,5143026,3016074,14640213,37.5052,0.0054,25781200,11850.9,17,169330,169347,77.81,1540,1319,1352,1229,0.0487,3,0.0006,0,0,0,15,3,0.067,0.87,2,71,81,55,75
1337,再生-KY,塑膠工業,225610.69,18018.145,118444,21.075,0,1064765,96.92005,237.975,10852.375,11090.35,0.87095,1048,880,869.5,796,0.1429,0,0,0,0,0,7,3,0,1,1,47,25,58,64
1338,廣華-KY,汽車工業,1503.99,27200.5,25407.07,60.62,0.0667,388171,0.0068,250.918,902.41,1153.33,0,707.5,582,526,464.5,0.217,0,0,0,0,0,7,3,0,0.982,2,60,55,60,64
1339,昭輝,汽車工業,137.1649,1212.5207,758.43125,2.8333,0.0349,14171.5,17.03655,8.31,50.249,85.78,20.19985,778,662,680,518,0.2414,2,0.0072,0,0,0,9,4,0.3333,0.9444,2,66,45,80,70
1340,勝悅-KY,塑膠工業,225610.69,18018.145,118444,21.075,0,1064765,96.92005,237.975,10852.375,11090.35,0.87095,1048,880,869.5,796,0.05,0,0,0,0,0,7,3,0.1429,1,1,45,25,58,60
1341,富林-KY,塑膠工業,25985.23,19587.75,7016.5,18.1129,0.3437,142169,11.1349,552.55,7131.65,7684.2,0.6031,1048,880,869.5,796,0.28,2,0.0019,0,0,0,6,3,0,0.975,1,62,67,50,68
1342,八貫,其他,3164.68,4296.94,1562.32,0.5,0.0008,5195.5,3.30995,0,428.666,428.666,2.13065,837,739,652,518,0.5,0,0,0,0,0,7,3,0.2857,0.81,1,57,29,68,60
1402,遠東新,紡織纖維,1025202,1156734,11685654,6.83,0.05,18492000,2.6,12484,96608,109092,0.0155,1257,1073,994,832,0.24,44,0.0022,0,0,0,13,3,0.15,0.98,7,73,70,63,83
1409,新纖,紡織纖維,106566,180973,2257.75,13.1772,0.2472,1875000,1.97,0,7384,7384,0.469,760,619,651,636,0.1244,4,0,0,0,0,12,3,0,0.8958,1,60,61,58,62
1410,南染,紡織纖維,13019.05365,7311.867,5843624.26,5.7582,0.2622,723062.905,47.28695,2480.61,522.1185,3002.7335,0.19015,1681,1546,560,501,0.25,0,0,0,0,0,7,4,0,0.9714,1,51,25,70,56
1413,宏洲,紡織纖維,9046.85,17539.9,5843973.285,13.3266,0.035,296537000,148640.1,143.18,26.83,170.01,0.0852,716,591,605,542,0.12,0,0,0,0,0,12,4,0.17,0.826,1,55,43,60,61
1414,東和,紡織纖維,58.4625,10951.32,2298.04,23.4847,0.01,41.0523,0.0724,0,591.0229,591.0229,1.043,588,469,487,453,0.1765,3,0.0146,0,0,0,7,3,0.1429,0.93,1,52,55,48,53
1416,廣豐,其他,5791.085,18069.145,1731.275,3.81065,0.15775,3335.65,84.81195,6,851,857,0.4617,1530,1337,845,855,0.4,0,0,0,0,0,8,3,0,0.98,1,62,25,80,63
1417,嘉裕,紡織纖維,13494.7844,26568.735,9243.6617,5.7226,0.2372,814024.905,45.3703,2480.61,650.24,3130.855,0.1888,790,670,569,540,0.5,1,0.003,0,0,0,7,3,0.1429,1,1,49,25,55,63
1418,東華,紡織纖維,3.993,388.0604,1943.545,19.0407,0.01,1258,61.12,0,0.78,0.78,0.04,1116,963,602,521,0.1944,0,0,0,0,0,8,3,0,0.9091,1,60,55,78,51
1419,新紡,紡織纖維,2471.9,15968.78,78.6868,5.8335,0.01,63799.2,20.182,0,169.83,169.83,0.0537,907,763,701,596,0.44,1,0.0017,0,0,0,7,3,0,0.9524,1,65,43,85,68
1423,利華,紡織纖維,91.52545,15031.05,9243.6617,0.0005,0.2372,32677.5,0,0,26.41,26.41,0,755,634,562,498,0.3333,0,0,0,0,0,5,3,1,1,1,65,78,58,60
1432,大魯閣,運動休閒,2258.565,24423.84,43080.245,0.8607,0.0029,172671,8.03635,191.99,3833.625,4025.615,0.21355,530,432,550,472,0.4483,2,0,0,0,0,5,4,0.22,0.8412,1,63,25,78,60
1434,福懋,紡織纖維,78690,83080,6087.15,7.35,0.0062,4108000,186.63,912.42,6792.99,7705.41,0.35,596,496,564,493,0.0514,8,0.0146,0,0,0,11,3,0.0909,1,2,73,82,60,77
1435,中福,其他,11.32255,59.526,8.061,0.87735,0,206.02,1289.1915,0,24.9589,250,0.02795,1080,878,799,601,0.5,0,0,0,0,0,7,3,0,0.9694,1,53,33,75,42
1436,華友聯,建材營造,6.6195,52.8,389.17695,0.27205,0,0.193,0.10995,0,16706.75,13523.65,0.4635,1282,1086,942,837,0.5,0,0,0,0,0,9,4,0,0.9778,1,57,53,58,61
1437,勤益控,其他,2.327,33.6753,1158.726,0.0417,0,3975.5,16.90175,0,459.675,675,21.5684,4013,3730,772,455,0.7143,0,0,0,0,0,7,4,0.143,1,2,58,29,60,71
1438,三地開發,建材營造,767.306,19559.25185,634.55055,1.7674,0.02225,404964.73,34.62425,0,15955.975,15955.975,1.3421,1101,955,467,436,0.25,0,0,0,0,0,7,3,0.2857,1,1,56,25,88,56
1439,雋揚,建材營造,51.87825,7.5529,315.47875,10.8021,0,1006.26,0.29055,0,4.5856,4.5856,0.0301,1287,1070,769,786,0.5,0,0,0,0,0,7,3,0.14,0.9048,2,53,34,50,70
1440,南紡,紡織纖維,49774.62,74661.47,574617.23,13.228,0.0059,678210,70,0.16,782.71,782.87,0.0832,689,563,619,556,0.1212,8,0.0316,0,0,0,20,4,0.25,0.9417,2,65,60,55,75
1441,大東,紡織纖維,13013.7965,7479.3402,97.79495,15.2427,0.24385,721886.405,75.9303,2480.61,521.195,3001.81,0.2088,1103,909,608,551,0.29,0,0,0,0,0,8,4,0.125,1,2,55,25,78,61
1442,名軒,建材營造,11.36155,28.31,389.17695,0.5408,0,231.124,0.10995,0,16706.75,13523.65,0.4635,1515,1276,1047,1021,0.5,0,0,0,0,0,7,3,0.29,0.9821,1,62,40,75,69
1443,立益物流,其他,5791.085,18069.145,1731.275,3.81065,0.15775,3335.65,84.81195,6,851,857,0.4617,920,769,657,650,0.2062,0,0,0,0,0,9,3,0,0.9556,1,51,25,68,47
1444,力麗,紡織纖維,48638.02,107422,10389.575,24.0535,0.01295,389473.7,1.5446,0,2030.39,2030.39,0.004,631,501,513,446,0.2245,3,0.0018,0,0,0,9,3,0.1111,0.7222,1,66,81,60,61
1445,大宇,紡織纖維,16774.57,770.616,7302.46,0.54175,0.215,201000.0104,79,617.1311,0.0234,617.1545,0.115,839,735,689,587,0.16,0,0,0,0,0,11,3,0.09,0.96,1,49,25,70,51
1446,宏和,紡織纖維,1655.35,25465.21,9148.4717,198.9469,0.01,15432,120.5625,0,13.6,13.6,0.1063,896,775,637,515,0.175,0,0,0,0,0,9,3,0.2222,0.8611,1,61,63,70,53
1447,力鵬,紡織纖維,127606.1,80508.77,6087.15,23.1342,0.0131,4541830,39.9712,52.46,10764.65,10817.11,0.175,710,561,558,505,0.2203,4,0.0031,0,0,0,9,3,0.2222,0.8889,1,66,69,65,63
1449,佳和,紡織纖維,8513.03,65027.56,2222.93,28.1231,0.2472,1742978,0.385,0,413.04,413.04,1,613,512,527,494,0.0543,4,0.0046,0,0,0,12,4,0,0.86,1,56,53,65,52
1451,年興,紡織纖維,5290.41,15626.19,6087.15,3.2894,0.01665,2186971,343.9274,5912.47,6547.83,12460.3,1.9595,826,611,518,470,0.22,529,0.0622,0,0,0,9,3,0,0.9444,1,55,41,60,63
1452,宏益,紡織纖維,62.4141,17106.56,1146.6567,14.3162,0,36815,1.9957,0,16.29,16.29,0.0009,744,617,565,483,0.32,10,0.0467,0,0,0,9,3,0.1111,0.963,1,62,60,55,68
1453,大將,建材營造,1107.375,20418.745,105752.4737,1.86345,0,441772.5,40.2052,0,28419.36,28419.36,2.46805,834,700,565,596,0.4,0,0,0,0,0,7,3,0.1429,0.9286,1,52,25,73,57
1454,台富,紡織纖維,720,7058.7,10259.565,3.614,0.02,7829.5365,15.92665,24.7375,1398.5,1423.24,1.01005,673,558,557,507,0.0945,0,0,0,0,0,9,4,0.2222,0.9166,2,52,25,70,58
1455,集盛,紡織纖維,23882.6,101061.58,18486.58,16.14,0.215,512364,3.35,0,1228.08,1228.08,0.008,716,606,603,548,0.0909,9,0.0071,1,0,0,10,3,0.1,0.9,1,59,52,55,68
1456,怡華,建材營造,7.612,24.5037,315.47875,10.8307,0,1759.46,3.0012,0,510.95,510.95,0.0301,1096,936,561,556,0.17,0,0,0,0,0,12,4,0.18,1,1,63,70,63,58
1457,宜進,紡織纖維,14.5073,53.114,1594.52,0.0717,0.01,3611,3.8333,0,2.627,2.627,0.0027,1314,1116,821,732,0.55,0,0,0,0,0,9,3,0.3333,0.815,1,68,38,95,71
1459,聯發,紡織纖維,0,12518,2295.305,19.56,0.01,5825,9.1,0,34.99,34.99,0.004,752,611,449,394,0.1667,0,0,0,0,0,9,3,0,0.9206,2,56,55,58,56
1460,宏遠,紡織纖維,52461.53,43475.7,2257.75,18.4607,0.2472,1835252,183.4804,34.57,9347.33,9381.9,0.938,685,551,522,470,0.0279,13,0.0093,0,0,0,11,3,0.0909,0.8864,1,66,75,55,67
1463,強盛,紡織纖維,18788,204,10389.575,1.083,0.215,402000,0.7723,1234,0,1234,0.115,620,531,515,465,0.2903,0,0,0,0,0,11,3,0.1818,0.9167,1,52,25,70,58
1464,得力,紡織纖維,36913.39,26393.72,10297.12,1.7439,0.01,1707.81,0.08,0,3618,3618,0.0001,655,552,554,489,0.3333,15,0.0181,0,0,0,7,4,0.2857,1,2,63,61,68,61
1465,偉全,紡織纖維,6830,40326.875,1150.8084,1.64495,0.01,1964974.5,171.9637,2956.235,3480.435,6436.67,0.97975,649,542,531,477,0.44,0,0,0,0,0,9,4,0.1111,0.8958,1,58,25,88,60
1466,聚隆,紡織纖維,965.9688,38566.85,1185.6284,20.1125,0.01,185535,94.3917,0,258.87,258.87,0.1317,736,607,570,550,0.1818,2,0.0063,0,0,0,11,4,0.1818,0.9726,1,61,60,53,68
1467,南緯,紡織纖維,113.55,2014.01,1146.6567,1.43,0.01,40590,27.3,0.071,100,100.071,0.00045,913,763,660,583,0.122,0,0,0,0,0,11,3,0.0909,1,1,69,68,78,63
1468,昶和,紡織纖維,0,827,1943.545,9.5206,0.01,600.073,22,49.475,2083,2132.48,2.02,699,578,543,522,0.2,0,0,0,0,0,8,4,0.125,1,2,51,31,55,63
1470,大統新創,紡織纖維,9785.03,4008.71,10389.575,21.05,0.215,537382,158,0,801,801,0.23,658,563,560,473,0.3333,0,0,0,0,0,11,4,0,0.9091,2,60,78,63,45
1471,首利,電子零組件業,2321.5126,7649.23,511546.535,1.98655,0.336,110112.5,20.52605,109.55055,821.17165,930.7222,0.1645,1108,932,740,768,0.32,0,0,0,0,0,7,3,0.2857,0.9286,1,51,25,68,58
1472,三洋實業,建材營造,23.70085,424.38,30.55565,1.66045,0,9720,55.54,0,4433.16,4433.16,0.02705,1142,981,803,651,0.2188,0,0,0,0,0,6,3,0.1667,1,1,61,25,93,65
1473,台南,紡織纖維,121.0881,384.9742,116.9031,0.0095,0.01,16987,0.261,5.14,4.33,9.47,0.0001,891,767,589,493,0.866,3,0.0087,0,0,0,11,3,0.4545,0.94,2,73,73,70,76
1474,弘裕,紡織纖維,1440,13290.4,18296.2,5.4841,0.01,15059,9.8533,0,714,714,0.002,667,569,548,503,0.4091,2,0.0044,0,0,0,11,3,0.0909,1,2,57,55,50,63
1475,業旺,紡織纖維,13068.575,8292.315,97.79495,6.43735,0.2372,741552.405,59.0203,2480.6455,570.805,3051.4555,0.24195,1000,821,580,586,0.25,0,0,0,0,0,5,3,0.2,1,1,53,25,75,57
1476,儒鴻,紡織纖維,28225.17,90560.75,9881.73,3.8578,0.0133,2431033,78.954,229.888,14062.1,14291.99,0.4641,1156,1015,953,833,0.3571,30,0.0016,0,0,0,12,4,0.0833,0.9702,7,78,74,80,81
1477,聚陽,紡織纖維,15415.35,15050.53,12312.35,0.9386,0.41,676633,20.85,1236.84,8550.13,9786.97,0.3,2129,1927,1508,1381,0.5942,10,0.0137,0,0,0,15,4,0.4,0.9667,25,83,61,90,94
1503,士電,電機機械,7088.58,39276.98,24359.89,15.31785,0.0056,204.79,0.008,10,881,891,0.13395,1249,1103,1024,842,0.074,1,0.0024,3,0,0,15,3,0,0.88,1,58,45,65,63
1504,東元,電機機械,13132.32,44470.33,63955674.09,1.1464,0.0637,86940,1.5,286.27,946.89,1233.16,0,1267,1102,920,748,0.2157,10,0.0017,2,0,0,11,4,0.1818,0.9848,15,72,62,65,86
1506,正道,電機機械,1484.89,5749.01,8632.7907,6.34,0.03,13295,14.1738,0.6,377.58,378.18,0.4032,631,506,562,508,0.2614,11,0.0376,0,0,0,9,3,0.1111,0.9556,1,55,34,73,58
1512,瑞利,汽車工業,851.995,17160.25,13946.035,33.32,0.0029,262121,55.9534,208.459,497.205,705.665,0.1061,772,636,585,503,0.125,0,0,0,0,0,7,3,0,0.93,1,59,50,68,59
1513,中興電,電機機械,34.3462,5531.75,4.153,0.263,0.00445,17151000,774.4908,5.5963,188.41,194.0063,0.0088,1062,889,907,773,0.1633,4,0.0124,0,0,0,9,3,0.1111,0.8409,2,66,68,70,62
1514,亞力,電機機械,909.8253,2126.02,501.7348,0.3893,0.06,24729,2.7214,0,70.574,70.574,0.0078,1182,1023,943,809,0.36,0,0,0,0,0,12,3,0.1667,0.9048,1,62,65,73,52
1515,力山,電機機械,426.1051,3043.3,71374.58,14.935,0.0028,6877,1.0252,0,3.9,3.9,0.0005,723,630,524,434,0.1837,15,0.0183,0,0,0,9,3,0.1111,1,2,50,34,50,63
1516,川飛,其他,5791.085,18069.145,1731.275,3.81065,0.15775,3335.65,84.81195,6,851,857,0.4617,1765,1535,970,862,0,0,0,0,0,0,8,3,0.25,0.9818,1,59,25,85,50
1517,利奇,電機機械,569.5408,2530.2,2376.54,2.2732,0,4759.3,3.4902,0,203.0973,203.0973,0.1489,464,372,395,345,0.1067,3,0.0052,0,0,0,7,3,0.4286,1,1,53,35,48,72
1519,華城,電機機械,39476.55,7485.89,42755.61,0.706,0,58583,64.804,0,143.575,143.575,4.5779,1646,1483,1546,1113,0.1313,9,0.01,0,0,0,10,4,0.1,0.9583,1,71,71,78,66
1521,大億,汽車工業,588.5109,16190.37,301.4225,3.4833,0.0349,49832,10.8,23.01,37.88,60.89,40.36,757,621,642,585,0.1192,0,0,0,0,0,7,3,0.1429,0.8068,1,49,25,65,54
1522,堤維西,汽車工業,366.24,16748.39,6105.49,1.3514,0.03525,97012,7.6604,0,714.6,714.6,0.0564,730,600,618,562,0.25,21,0.0128,0,0,0,9,3,0,0.9444,1,64,66,60,66
1524,耿鼎,汽車工業,294.0213,5452.3,88598.84125,2.0212,0.00035,72434,0.0374,0,233.05,233.05,0.0149,773,647,633,545,0.1429,3,0.0066,0,0,0,9,4,0.1111,0.8667,1,60,63,68,54
1525,江申,汽車工業,1102.1,2527.55,1102.46,2.27,0.1139,16010,10.0188,0,220.07,220.07,0.1377,755,630,644,589,0.1,0,0,0,0,0,10,3,0.001,1,2,66,60,68,70
1526,日馳,電機機械,110.04,594.4,122.34045,0.7938,0.03,12021,12.0794,0,46.784,46.784,0.047,775,648,544,401,0.2,1,0.006,0,0,0,7,4,0.2857,0.9444,1,66,63,68,67
1527,鑽全,電機機械,10028.86,7408.04,32757.83,6.2633,0,114424,35.42295,0,327.385,327.385,9.039,651,548,576,471,0.0077,5,0.0001,0,0,0,11,3,0.0909,0.9091,2,55,55,55,54
1528,恩德,電機機械,322.0204,963.7571,17063.53,1.62775,0.00145,114424,35.42295,65.2755,141.7085,206.984,0.0668,817,701,710,608,0.0378,0,0,0,0,0,7,3,0.1429,1,1,52,25,68,60
1529,樂事綠能,電機機械,79.78015,614.7354,122.34045,0.90825,0.0028,3312,4.4021,0,14.3,14.3,0.019,692,572,484,461,0.4286,1,0.0122,0,0,0,9,3,0.1111,0.8364,4,51,28,78,50
1530,亞崴,電機機械,4958.8952,14539.81855,71144.41,12.4411,0.01735,114424,35.42295,2587.2455,6787.6135,9374.859,1.3198,860,725,649,608,0.1395,0,0,0,0,0,9,4,0.1111,0.973,1,49,25,63,58
1531,高林股,電機機械,267.7427,4599.01,587620.62,2.2655,0.3567,49645,25.36855,72.1,229.59,301.69,0.26,896,752,748,687,0.4854,3,0.0066,0,0,0,7,4,0.4286,0.9,1,53,31,65,61
1532,勤美,電機機械,3494,196634,65584.15975,21.82,0.0322,478768,13.81265,309,89412,89721,0.36805,1017,873,775,610,0.326,2,0.0062,0,0,0,9,3,0.2222,0.963,2,76,87,60,80
1533,車王電,汽車工業,266.2433,1663.72,327.5588,0.0114,0.1139,8934,15.7828,1.002,95.282,96.284,0.1701,651,528,566,482,0.3,2,0.004,1,0,0,11,4,0.0909,0.9318,2,60,54,60,63
