公司名稱,產業類別,公司代號,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG
大飲,食品工業,1213,492,412,404,384,0.25,0,0,9000,37.5,1,0.13,705.75,5110.727,3651.705,2.20645,9,3,1,0.1111,0.9444,0.3333,52.13,20,72.13,0.14685,1,1,1,1
卜蜂,食品工業,1215,899,773,665,508,0.3082,28,0.0126,1109384,5.564,1,0.0002,34271,41031,4107.64,5.2,8,3,0,0,0.9,1,0,30571.45,30571.45,0.00715,1,1,1,1
統一,食品工業,1216,1371,1209,1183,1012,0.2907,1,0.0002,4262517,920,8,0.0003,63364.64,100999.43,1430005.67,35.21,13,3,2,0.1538,0.9829,1,2.26,36403.71,36405.97,7.8,1,1,1,1
愛之味,食品工業,1217,793,660,688,590,0.3409,4,0.0071,418537,57.34,1,0.31445,1074.81,12998.87,4036.415,1.9282,9,3,0,0,0.9074,0.7778,0,2346.8,2346.8,0.322,1,1,1,1
泰山,食品工業,1218,1387,1241,1049,853,0.2521,3,0.0043,724060,72.2979,1,0.6239,3407.88,6607.74,1912.96,1.0416,8,3,1,0.125,0.99,1,0,1750.54,1750.54,0.1821,1,1,1,1
福壽,食品工業,1219,831,689,682,625,0.128,3,0.005,449458,0.0264,1,0.31475,7577.84,11729.38,4079.83,1.43,9,3,3,0.33,0.92,1,0.035,436.05,436.085,0,1,1,1,1
台榮,食品工業,1220,658,541,571,537,0.1379,2,0.01,786000,6.978,1,0.31475,15738.29,15266.69,4107.64,0.27,13,3,2,0.1667,0.923,0.0769,0,486.18,486.18,0.0043,1,1,1,1
福懋油,食品工業,1225,890,746,695,621,0.1,0,0,47643.6,20.125,1,0,3304.51,2861.48,3651.705,3.495,9,3,2,0.2222,0.8611,0.5555,0.42,841.15,841.57,0.16185,1,1,1,1
佳格,食品工業,1227,1078,888,856,767,0.39,12,0.009,662540,0.42,1,0.31475,11520,16213,3993,0.0174,8,4,1,0.125,0.93,1,4,6788,6792,0.0043,1,1,1,1
聯華,食品工業,1229,3098,2800,749,680,0.25,0,0,53512,7.25,2,0.13,1277.54,16358.18,3223.58,2.39,10,3,1,0.1,0.94,1,0,322.635,322.635,0.0437,1,1,1,1
聯華食,食品工業,1231,831,695,686,582,0.39,19,0.0082,621920,0.0577,1,0.31475,8747.13,16853.49,2952.98,2.38,9,3,2,0.2222,1,1,0,6775.63,6775.63,0.6289,1,1,1,1
大統益,食品工業,1232,1982,1742,1585,1362,0.2609,0,0,353390,17.48,1,0.1325,29545.13,64871.39,3651.705,4.6702,11,3,0,0,1,1,0,1993,1993,0.099,1,1,1,1
天仁,食品工業,1233,501,417,544,487,0.5,5,0.0036,84018,46.015,1,0.13,869.729,2630.88,3651.705,1.917,9,3,0,0,1,1,0,464.8175,756.1,0.414,1,1,1,1
黑松,食品工業,1234,953,790,816,733,0.1512,0,0,771000,4.15,1,0.0056,9170.64,15087.33,6302.32,0.16,13,3,2,0.1538,0.9813,1,0.6,2324,2324.6,0.01,1,1,1,1
興泰,食品工業,1235,526,444,421,440,0.3333,0,0,3984,0.0632,1,0.13,919.2922,208.384,3651.705,0.0179,7,3,1,0.1429,0.9429,0.4286,26.275,430.575,319.965,0.14685,1,1,1,1
宏亞,食品工業,1236,613,505,500,440,0.46,6,0.0079,70353,33,1,0.26,2475,8569,3651.705,4.6,6,3,3,0.5,1,1,0,607,607,0.28,1,1,1,1
鮮活果汁-KY,食品工業,1256,1003.5,853,803,696,0.3611,29,0.0299,317572,77.43,1,0.1325,2096.9,13345.04,3651.705,0.0038,8,3,1,0.125,1,1,12.526,4930.57,4943.09,0.0015,1,1,1,1
南僑,食品工業,1702,2766,2516,1007,734,0.368,0,0,1597294,0.0803,2,0.013,87119.32,99179.33,4107.64,9.0973,9,3,2,0.2222,0.7273,1,35,14104,14139,0.6904,1,1,1,1
臺鹽,食品工業,1737,1159,981,985,895,0.2906,0,0,173309,173309,1,0.005,24721.1,3167.8,3651.705,27889,9,3,2,0.22,0.98,1,0,305.86,305.86,305.86,1,1,1,1
立萬利,食品工業,3054,1198,1025,896,792,0.4,0,0,417924.5,86654.71,1,0.0053,18120.55,9690.4,5147.66,13944.5087,9,3,2,0.22,0.95,1,2,3546.93,3548.93,152.93215,1,1,1,1
台塑,塑膠工業,1301,1621,1434,1398,1270,0.073,2,0.0018,21995920,112.7494,4,0,3338612,4605137,11298608,40.719,15,4,2,0.13,0.956,1,3251,197023,200274,1.0266,1,1,1,1
南亞,塑膠工業,1303,1233,1080,1238,1161,0.0485,5,0.0004,15269551,0.09,4,0,1628833.19,2955506.84,13680477.28,27.097,15,3,2,0.13,0.9714,1,5635.07,80116.86,85751.93,0.0005,1,1,1,1
台聚,塑膠工業,1304,1674,1411,1513,1376,0.0066,0,0,925439,4.46,4,0,25483,117786,130,0.69,9,4,0,0,0.9111,1,63.35,389.27,452.62,0.0022,1,1,1,1
華夏,塑膠工業,1305,1102,919,942,904,0.0633,3,0.0044,2886400,2.77,4,0,161650,185440,470808.12,0.33,9,4,0,0,1,0.9091,47,2812,2859,0.0027,1,1,1,1
三芳,塑膠工業,1307,990,852,731,694,0.064,11,0.033,171700,223.05,1,0.5942,8242.1,22268.8,2789.635,18.49,7,3,0,0,0.88,1,329,2030,2359,3.06,1,1,1,1
亞聚,塑膠工業,1308,1654,1411,1490,1407,0.027,0,0,494813,3.8,1,0,10443.52,101531.43,220420.66,0.8614,9,4,0,0,1,1,0,274.44,274.44,0.0021,1,1,1,1
台達化,塑膠工業,1309,1291,1084,1100,1039,0.1538,0,0,935065,1.024,1,0,15223,50227,114224,0.211,9,4,1,0.11,0.9815,1,2.1,3492.6,3494.7,0.0079,1,1,1,1
台苯,塑膠工業,1310,1185,930,883,793,0.2258,0,0,1270619,3.63,1,0,199683.07,29524.44,57177,0.688,11,3,1,0.0909,0.9455,1,0,1594.62,1594.62,0.005,1,1,1,1
國喬,塑膠工業,1312,1022,847,878,774,0.2727,2,0.0053,1894152,104.21,1,0,318971.98,36899.65,827392.24,19.58,7,3,1,0.1429,0.9762,1,0,1114.71,1114.71,0.061,1,1,1,1
聯成,塑膠工業,1313,1554,1310,1165,1072,0.306,0,0,234890,1.94,1,0.2971,40948.93,15118.83,2789.635,0.46,10,3,0,0,0.95,1,497.64,1145.41,1643.05,0.04,1,1,1,1
中石化,塑膠工業,1314,978,817,953,869,0.14,0,0,5936000,2371744,2,0.0003,796727,192690,1331732,395324,9,3,0,0,0.8723,1,37627,18552,56179,2.2446,1,1,1,1
達新,塑膠工業,1315,761,643,604,535,0.4452,0,0,8294,17.669,1,0.0752,3914.88,2688,2173.545,4.82825,8,3,0,0,1,1,0,103,103,0.08135,1,1,1,1
大洋,塑膠工業,1321,902,745,800,738,0.0816,5,0.011,97.12,0.6595,1,0.0376,3491,40180,1506,0.3102,10,4,2,0.2,0.98,1,11.32,633.93,645.25,0.0043,1,1,1,1
永裕,塑膠工業,1323,701,592,596,508,0.2684,4,0.0056,138916,0.04,1,0,441.623,21450.56,2738.18,0.0067,11,4,0,0,0.9848,1,0,229.14,229.14,0.0001,1,1,1,1
地球,塑膠工業,1324,713,595,536,446,0.3225,0,0,34088.98,34.6785,1,0.0376,4338.76,2007.62,2841.09,9.3463,5,3,0,0,1,1,86.09,69.62,155.71,0.1584,1,1,1,1
恆大,塑膠工業,1325,566,457,470,405,0.6667,0,0,87231.49,22.5834,1,0.26,12817.595,7929.16,2789.635,5.90315,7,3,3,0.4286,1,0.2857,333.155,3382.935,3716.09,0.3407,1,1,1,1
台化,塑膠工業,1326,1645,1427,1409,1283,0.0463,3,0.0006,28188305,11140,2,0.0014,4698681,3166588,14488269.07,3084.76,15,3,1,0.067,0.9,1,73,223242,223315,90.28,1,1,1,1
再生-KY,塑膠工業,1337,639.5,526,503,425.5,0.1429,0,0,87231.49,22.5834,1,0.2607,12817.595,7929.16,7245555.08,5.90315,7,3,0,0,1,1,333.155,3382.935,3716.09,0.3407,1,1,1,1
勝悅-KY,塑膠工業,1340,639.5,526,503,425.5,0,0,0,87231.49,22.5834,1,0.2607,12817.595,7929.16,7245555.08,5.90315,7,3,1,0.1428,1,1,333.155,3382.935,3716.09,0.3407,1,1,1,1
富林-KY,塑膠工業,1341,633.5,524.5,533,456.5,0.2353,7,0.0074,140374,10.4883,2,0.52,21296.43,13850.7,2789.635,2.46,7,3,0,0,1,1,580.22,6696.25,7276.47,0.523,1,1,1,1
炎洲,塑膠工業,4306,676,572,574,530,0.14,0,0,117808,8.0298,1,0.26,43330.18,53444.24,2789.635,6.5962,5,3,0,0,1,0.4,290.11,3462.695,12397.91,0.84,1,1,1,1
上曜,建材營造,1316,1519,1385,640,511,0.2381,0,0,3.868,0.505,4,0,0,213.808,6.4879,0.0054,7,3,2,0.2857,1,1,0,10607.015,10697.515,0.0515,1,1,1,1
華友聯,建材營造,1436,1256,1066,871,819,0.4118,0,0,0.177,0.505,1,0,3.85,70.511,20.4476,0.0277,9,4,0,0,1,1,0,1443,2935,0.0515,1,1,1,1
三地開發,建材營造,1438,1340,1184,523,521,0.25,0,0,2.0225,181.55435,1,0,6.3165,142.1595,141.03895,0.00855,7,3,2,0.2857,0.9643,0.2857,0,9296.015,1533.5,291.9765,1,1,1,1
雋揚,建材營造,1439,957,774,711,700,0.6,0,0,1003.77,181.775,2,0,14.0965,7.8752,90.562,0.0165,7,3,1,0.14,0.9643,1,0,1443,2.5129,0.00695,1,1,1,1
名軒,建材營造,1442,1205,998,874,819,0.6,0,0,207,181.775,1,0,3,30.288,90.562,0.0277,7,3,2,0.29,0.9857,1,0,10607.015,10697.515,0.0515,1,1,1,1
大將,建材營造,1453,730,589,530,481,0.4,0,0,1449.385,185.89,1,0,9.3165,44.9986,135562.024,0.12085,7,3,1,0.1429,0.9142,0.1429,0,9296.015,67.25645,1.0765,1,1,1,1
怡華,建材營造,1456,936,803,558,547,0.17,0,0,1895,363,1,0,12.633,82.122,104.5217,0.0117,11,3,2,0.18,0.9673,1,0,132,132,0.013,1,1,1,1
三洋實業,建材營造,1472,932,756,600,527,0.25,0,0,1449.385,185.89,1,0,9.3165,44.9986,135562.024,0.00855,7,4,1,0.1429,0.9585,1,0,9296.015,67.25645,1.0765,1,1,1,1
寶徠,建材營造,1805,1331,1158,715,659,0.25,0,0,103.5885,388.3,1,0,3,50.3995,141.03895,0.00855,9,3,1,0.1111,0.9591,1,0,9296.015,10697.515,291.9765,1,1,1,1
潤隆,建材營造,1808,994,768,664,595,0.2758,2,0.0204,188,0.32935,1,0,6,108,141.03895,0.03565,7,3,1,0.1429,0.8889,0.4286,0,18460.03,18460.03,292.015,1,1,1,1
新美齊,建材營造,2442,1854,1087,1079,879,0.2143,0,0,7062,0.06285,2,0,7.78,80.27,100.802,0.0168,7,3,0,0,1,1,0,1399.4,2791,0.0455,1,1,1,1
國建,建材營造,2501,1441,1275,987,879,0.3103,2,0.0125,1743,10.89,1,0,115.17,1564.09,275.59,12.22,9,3,1,0.11,0.98,1,0,1443,9343,583.94,1,1,1,1
國產,建材營造,2504,1577,1450,1033,1018,0.1667,5,0.0079,176970,5.8672,2,0.0157,30951.58,29913.54,103682.895,0.003,12,4,1,0.0833,0.9167,1,0,18446,18446,0.7253,1,1,1,1
國揚,建材營造,2505,1505,1292,1256,1170,0.4286,0,0,348069,0.28535,1,0,281374.4618,20757.42175,225.11305,0.4485,9,3,1,0.11,1,1,0,9307.327,91.032,0.0455,1,1,1,1
太設,建材營造,2506,643,550,1042,836,0,0,0,1710,1710,1,0,11.94225,151.1872,90.562,151.1872,9,3,1,0.11,0.9753,1,0,1443,3659,0.0515,1,1,1,1
全坤建,建材營造,2509,976,813,802,745,0.6667,0,0,60170.5,2.1128,1,0,19.54,1322.98,135577.31,0.0129,6,3,0,0,1,0.5833,0,8888.15,8888.15,1.637,1,1,1,1
太子,建材營造,2511,1801,1574,1082,1048,0.357,0,0,255930,2.58,2,0.0157,411.5,3496.2,606.6,0.06,15,3,2,0.133,0.97,1,0,10600,18133.65,1.59125,1,1,1,1
新建,建材營造,2516,839,724,616,483,0.11,4,0.0046,60195,8.78,1,0,746.63,1583.88,135577.31,0.23,9,3,2,0.2222,0.86,0.8889,0,14668.52,14668.52,2.14,1,1,1,1
冠德,建材營造,2520,2018,1777,1273,1081,0.36,0,0,1533,0.0713,2,0,37.7052,171.3335,34.4073,0.0097,9,3,1,0.1111,0.9028,1,0,1443,54.72,0.0025,1,1,1,1
京城,建材營造,2524,1589,1341,980,937,0.2857,0,0,104508,12.415,1,0,15504.68155,15015.375,156.325,0.8115,7,3,1,0.1429,0.9078,0,0,145857.665,11559.615,291.9947,1,1,1,1
宏璟,建材營造,2527,1507,1280,830,852,0.39,0,0,154686,413.6,1,0.0157,11.61,5343.33,306.54395,14.32,11,3,4,0.3636,0.9636,0.4545,0,273269.33,273269.33,12.39125,1,1,1,1
皇普,建材營造,2528,1000,858,728,610,0.4444,0,0,645.91,1.00185,1,0,15.56,21.44,105.84805,0.0213,6,3,2,0.3333,0.9722,1,0,10607.015,1377.3995,0.02515,1,1,1,1
華建,建材營造,2530,1667,1465,1104,896,0.4,0,0,1287.63,0.46,4,0,8.3245,818.8911,20.4476,23.34,7,3,0,0,0.9841,1,0,1443,4050,0.09,1,1,1,1
宏盛,建材營造,2534,1275,1091,972,836,0.0824,0,0,1294.91,0.32935,1,0,11.63,25.925,306.54395,0.03565,7,3,2,0.2857,0.9762,1,0,2754,2754,0.0697,1,1,1,1
達欣工,建材營造,2535,1441,1245,1119,1093,0.1073,0,0,1902,0.1107,2,0,46.3636,187.8135,174.6361,0.014,7,3,0,0,0.9286,1,0,1443,13.41,0.001,1,1,1,1
宏普,建材營造,2536,1176,998,841,857,0.25,0,0,3.82,0.55,1,0,7.7,30.41,90.562,0.05,3,4,2,0.2857,0.9524,1,0,10607.015,10607.015,0.04545,1,1,1,1
聯上發,建材營造,2537,1133,945,888,791,0.5556,0,0,30941.91,0.33,1,0,15.61,1327.465,135577.31,0.02725,7,3,3,0.4286,1,1,0,8888.15,8888.15,0.69395,1,1,1,1
基泰,建材營造,2538,2989,1619,1029,842,0,0,0,4297.5,0.09,1,0,27.8526,26,35.73365,0.0095,11,3,1,0.0909,0.8364,0,0,1380.5,1422.86,0.0013,1,1,1,1
櫻花建,建材營造,2539,1126,941,891,756,0.2,1,0.0135,61880,0.11,1,0,23.52,2624.52,135577.31,0.0045,7,3,3,0.4286,1,1,0,1668.3,1668.3,1.637,1,1,1,1
愛山林,建材營造,2540,3127,2852,2036,1357,0.1,0,0,332322,3.6407,1,0.0157,866.725,1964.47,320.50365,0.19165,7,3,2,0.0014,0.94,0.3,0,9226.5,11706.11,0.127,1,1,1,1
興富發,建材營造,2542,1538,1403,775,624,0.4,0,0,2586,0.1087,1,0,0,292.113,104.5217,0.0123,7,3,1,0.1429,0.9905,0.4286,0,1443,1383.705,0.00175,1,1,1,1
皇昌,建材營造,2543,859,687,720,564,0.1279,9,0.009,361770,7.9867,1,0,381.095,802.66,135577.31,0.12565,7,3,2,0.2857,0.9643,1,0,8168.41,19039.41,1.19695,1,1,1,1
皇翔,建材營造,2545,1501,1274,1165,970,0.1754,0,0,348069,5.50035,1,0,281374.4618,20757.42175,225.11305,0.4485,11,3,4,0.3636,0.9394,0.18,0,9307.327,91.032,291.9705,1,1,1,1
根基,建材營造,2546,1075,939,978,916,0.11,10,0.011,58461,4.1156,2,0,10886.99,2704.2,271117.56,0.9568,9,3,1,0.1111,0.9074,1,0,16108,16108,1.134,1,1,1,1
日勝生,建材營造,2547,1477,1244,941,862,0.3924,1,0.0048,32046,13.94,2,0,57.7831,117.21,37.06,1.62,9,4,0,0,0.972,1,0,1380.5,4673.23,0.0494,1,1,1,1
華固,建材營造,2548,3157,2805,1647,1566,0.18,0,0,1299,0.088,2,0,13.67,35.18,104.5217,0.0033,9,3,2,0.2222,0.9753,1,0,1443,1.92,0.0001,1,1,1,1
潤弘,建材營造,2597,1492,1297,1160,959,0.0703,0,0,694236,858.5967,1,0.0157,562702.56,41327.03,7637.725,0.883,9,3,1,0.1111,0.8519,1,0,168.654,168.654,0.26695,1,1,1,1
鼎固-KY,建材營造,2923,1180,980.5,942.5,767,0.4,0,0,663345,7.1934,1,0.0157,1719.78,3893.76,7637.725,0.38,11,3,3,0.2727,0.95,1,0,10600,23410.3,0.2539,1,1,1,1
夆典,建材營造,3052,1103,961,649,562,0.1111,0,0,1288,1.4537,1,0,114.783,132.2646,104.5217,0.2788,7,3,2,0.2857,0.9643,0.5714,0,1443,0.799,0.0009,1,1,1,1
富華新,建材營造,3056,2059,1813,1394,799,0.42,0,0,52466,7.025,1,0,18,792,135577.31,0.0093,8,3,3,0.375,0.9688,1,0,7,7,1.0947,1,1,1,1
昇陽,建材營造,3266,1624,1404,1164,1157,0.2,0,0,1.128,0.017,1,0,15868.61,100487,225.11305,1.5,6,3,0,0,1,1,0,1443,18924,0.28,1,1,1,1
欣陸,建材營造,3703,2212,1510,885,825,0.096,1,0.0005,229723,7.1463,6,0.0314,1617.46,38936.39,14668.85,1.2616,7,3,3,0.4286,1,1,0,10600,33513.3,1.0425,1,1,1,1
建國,建材營造,5515,1040,882,901,755,0.1491,2,0.005,1632,4.43,2,0,17,180.3,141.03895,0.54,13,3,0,0,0.9744,1,0,10607.015,15338.93,292.015,1,1,1,1
隆大,建材營造,5519,1690,1430,1135,1082,0.051,0,0,8517,87.8,1,0,31194.7,308681.52,151.27895,3.5039,7,3,0,0,0.9143,1,0,336877,10839,292.11,1,1,1,1
工信,建材營造,5521,673,572,574,416,0.0789,1,0.0057,27629,5.97,1,0,327.004,857.231,135562.024,0.26,6,2,1,0.1667,0.97,1,0,15388.26,109800.41,23.74,1,1,1,1
遠雄,建材營造,5522,2315,2023,1526,1443,0.37,0,0,121960,4.5881,3,0,74.2884,3487.75,192696.94,7.3832,7,3,1,0.14,0.82,0.86,0,8711.26,10847.21,0.4081,1,1,1,1
順天,建材營造,5525,1754,1583,1334,1208,0.27,0,0,4924,0.017,1,0,39.9747,194.5861,26.9679,0.0008,13,3,1,0.0769,0.9,0.9231,0,44.8,44.8,0.00175,1,1,1,1
鄉林,建材營造,5531,1197,1045,710,617,0.3659,0,0,3039,20.95,1,0,28.48735,229.43,100.802,1.58,7,3,2,0.2857,0.9592,1,0,1399.4,7691.865,0.00095,1,1,1,1
皇鼎,建材營造,5533,1432,1062,928,800,0.4545,0,0,641,0.1417,1,0,65.8915,60.81,104.5217,0.0134,9,3,2,0.2222,1,0.3333,0,10607.015,7669.8645,0.04545,1,1,1,1
長虹,建材營造,5534,1583,1388,1047,1001,0.23,0,0,4579,43.97085,1,0.0157,15617.33735,154371.165,96361.95395,1.75865,9,3,2,0.2222,0.8889,0,0,25.9,7691.865,12.07405,1,1,1,1
永固-KY,建材營造,5546,1507.5,1225,987.5,900.5,0.2,0,0,1840,10.54585,2,0.0157,57.13155,145.12,96361.95395,0.7967,7,3,2,0.29,0.94,1,0,25.9,5446.005,12.07405,1,1,1,1
達麗,建材營造,6177,1224,1028,774,652,0.2,0,0,1840,10.54585,1,0.0157,172.002,145.12,96361.95395,0.7967,7,3,1,0.1429,1,0.8571,0,25.9,62569.67,12.07405,1,1,1,1
欣巴巴,建材營造,9906,1078,908,578,503,0.33,1,0.0172,5778,54.375,3,0.0157,31622.05,154455.475,142893.205,2.54195,7,3,5,0.71,0.95,1,0,10600,18685,0.707,1,1,1,1
三發地產,建材營造,9946,1190,1014,876,767,0.4545,0,0,4179,0.0018,2,0,11.6,252.9,306.54395,0.0001,7,3,0,0,1,1,0,671000,671000,0.2951,1,1,1,1
東陽,汽車工業,1319,745,626,684,582,0.136,0,0,777805,49.52,8,0.0277,9512.8,52198.31,3849.82,3.9289,7,3,1,0.1429,0.9762,0.1428,382,3320,3702,0.2357,1,1,1,1
廣華-KY,汽車工業,1338,1492.5,1328.5,1053.5,895,0.177,0,0,518590,3.347,2,0.05975,1105.58,22146.82,0,0.0003,7,3,0,0,1,1,355.92,1035.72,1391.64,0.009,1,1,1,1
昭輝,汽車工業,1339,772,638,648,495,0.2143,1,0.0036,92162,0.98425,2,0.0004,244.06965,6032.55,50387.995,0.0853,9,4,3,0.3333,1,1,155.31,18.42,173.73,0.00575,1,1,1,1
瑞利,汽車工業,1512,673,546,548,500,0.1333,0,0,21592,10560.8429,1,0.00145,2216,2867.915,7549.51225,1.2917,6,2,0,0,0.9777,1,11.91,150.695,162.605,60.01275,1,1,1,1
大億,汽車工業,1521,732,611,633,577,0.122,0,0,8254.0425,439.455,1,0,802.83,10188.705,2140.82725,80.735,9,3,1,0.11,0.7333,0.2222,0,404.25,404.25,2.7525,1,1,1,1
堤維西,汽車工業,1522,733,605,614,568,0.21,12,0.0075,100.085,867.97,1,0,671.66,17494.41,4000.11,157.54,9,3,0,0,0.9524,1,0,620.15,620.15,5.38,1,1,1,1
耿鼎,汽車工業,1524,757,631,615,528,0.0816,3,0.0066,71188,0.0385,1,0.0004,244.06965,5502.15,57072.23,0.372,9,4,1,0.1111,0.8542,0.2222,0,219.99,219.99,0.0149,1,1,1,1
江申,汽車工業,1525,751,629,637,559,0.1346,0,0,16408,10.94,2,0.00145,934,2883,20979.16,3.93,10,3,1,0.1,0.98,1,0,188.35,188.35,0.125,1,1,1,1
車王電,汽車工業,1533,664,549,568,462,0.2388,0,0,21109,21109,1,0.00145,79.6804,1619.92,281.5445,0.0001,11,3,1,0.0909,1,1,1.39,118.51,119.9,119.9,1,1,1,1
和大,汽車工業,1536,786,635,631,603,0.0909,1124,0.0116,157279,21.43,2,0.0646,2722.43,44735.97,1449.01,7.77,13,3,3,0.23,0.8308,1,95.5075,37.1015,554.87,0.076,1,1,1,1
倉佑,汽車工業,1568,720,594,600,547,0.25,2,0.0047,16845,12.48,1,0,296.8969,4306.37,21793.4,3.4124,9,3,1,0.1111,1,1,6.65,580.305,586.955,0.4351,1,1,1,1
吉茂,汽車工業,1587,826,701,514,498,0.2667,0,0,36958,14.65565,1,0.00145,1270.3,2641,14003.24,14.60775,8,4,1,0.125,0.9836,1,7735,46900,54635,0.094,1,1,1,1
六暉-KY,汽車工業,2115,1188,1018.5,987,903,0.55,0,0,246397.455,8.4041,1,0.0277,7321.285,9335.25,1432635.71,0.48415,9,3,3,0.3333,1,1,31.4756,3522.45,3553.925,0.075,1,1,1,1
裕隆,汽車工業,2201,1126,954,863,812,0.0854,1,0.0009,285798.91,12.7532,4,0.0549,6926.47,5675.16,3493.5,0.5623,9,3,1,0.1111,0.9444,1,18.107,2531.17,2549.28,0.1138,1,1,1,1
中華,汽車工業,2204,1250,1083,1111,994,0.1235,5,0.0026,206996,4.055,4,0.0005,7716.1,12995.34,2861777.92,0.406,9,3,2,0.2222,0.9464,1,44.8442,4513.73,4558.57,0.0362,1,1,1,1
三陽工業,汽車工業,2206,1207,1032,1014,998,0.0791,1,0.0004,435853,12.1465,2,0.05975,11285.87,27606.79,7699.64,1.0839,9,3,1,0.1111,0.9815,1,0,8737.63,8737.63,0.2435,1,1,1,1
和泰車,汽車工業,2207,2764,2380,2080,1737,0.23,0,0,16499,29.3,4,0.0029,280,1493,13189,26.6,14,3,2,0.1429,0.9841,1,3.325,384.3275,76.5,0.136,1,1,1,1
裕日車,汽車工業,2227,1552,1276,1182,1117,0.15,0,0,1500,4.0872,2,0.00145,146.79,901.71,20979.16,2.856,11,3,1,0.0909,1,1,1.2619,79.9976,64.1,0.175,1,1,1,1
劍麟,汽車工業,2228,800,686,630,534,0.1081,1,0.0023,20754,12.6858,3,0.00145,110.3005,4115.91,14817.48,2.5833,7,3,2,0.2857,0.9714,1,22.43,182.88,205.31,0.1255,1,1,1,1
為升,汽車工業,2231,922,811,638,549,0.2703,1,0.0026,23135,14.65565,1,0.00145,324.6,3789,14003.24,14.60775,7,3,2,0.2857,0.9871,1,5023,28649.71,33672.71,0.094,1,1,1,1
宇隆,汽車工業,2233,926,804,833,711,0.2727,1,0.002,14834,11.71,2,0.00145,682.34,2100.91,28769.32,3.6712,9,3,0,0,0.9474,1,87.87,313,400.87,0.28005,1,1,1,1
