公司名稱,產業類別,公司代號,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG
大飲,食品工業,1213,513,435,446,402,0.03,0,0,98.587,0.0444,1,0.1345,693.73,7525.072,1895.0571,1.2984,9,3,1,0.11,0.93,0.11,72.13,12.155,84.285,0.3963,1,1,1,1
卜蜂,食品工業,1215,892,766,579,497,0.06,18,0.0082,922914,14985.135,1,0.1345,45272,39870,4026.055,7,8,3,0,0,0.875,1,0,30071.6,30071.6,38.2206,1,1,1,1
統一,食品工業,1216,1408,1244,1217,1043,0.2239,5,0.0009,4232747,992.97,6,0,58384,96160,1391235,36.25,13,3,3,0.2208,0.989,1,3,35751,35754,8.39,1,1,1,1
愛之味,食品工業,1217,804,671,684,582,0.3398,5,0.009,416493,58.7,1,0.1345,1540,5799,2923.895,1.03,9,3,0,0,0.8548,0.6019,0,2665.5,2665.5,0.376,1,1,1,1
泰山,食品工業,1218,946,803,737,634,0.239,7,0.0107,616697,71.543,1,0.1345,3097.19,6394.41,1795.68,1.1011,9,3,1,0.1111,1,0.4444,0,1452.99,1452.99,0.3819,1,1,1,1
福壽,食品工業,1219,807,675,647,599,0.143,8,0.013,396858,0.0268,1,0.1345,6960.2,10597.88,4052.11,1.6,9,3,3,0.3333,0.9444,1,0.105,459.94,460.045,0,1,1,1,1
台榮,食品工業,1220,696,582,603,553,0.1379,1,0.0046,790354,29966.15,1,0.1345,15926.79,15347.26,4026.055,1900.46,12,3,2,0.1667,0.9655,0.0833,0,2015.87,2015.87,76.4312,1,1,1,1
福懋油,食品工業,1225,902,767,701,614,0.087,2,0.0087,58085,39.4513,1,0.1345,2392.59,2318.64,1895.0571,3.6873,9,3,2,0.2222,1,1,0.26,627.25,627.51,0.76025,1,1,1,1
佳格,食品工業,1227,1195,981,827,758,0.3,8,0.008,427914,0.342,1,0.1345,8844,11921,2923.895,0.017,7,3,1,0.1429,0.8,0.4286,3.31,5344,5347.31,0.0043,1,1,1,1
聯華,食品工業,1229,4077,3804,738,673,0.22,0,0,51.77,0.0082,2,0.1345,1315.32,14868.51,3014.27,2.57,10,3,1,0.1,0.93,1,0,282.99,282.99,0.045,1,1,1,1
聯華食,食品工業,1231,787,661,634,534,0.3,21,0.0001,595.357,0.0626,1,0.1345,7847.94,15704.24,1895.0571,2.4782,9,3,2,0.222,1,1,0,7104.78,7104.78,0.7476,1,1,1,1
大統益,食品工業,1232,1996,1758,1591,1382,0.2727,1,0.0069,236050,0.237,1,0.1345,4089.62,112170.89,2413.9771,0.1249,11,3,0,0,0.97,1,0,1951,1951,0.002,1,1,1,1
天仁,食品工業,1233,480,394,509,455,0.4546,16,0.0116,87230,78.9026,1,0.1345,2635.31,2617,1895.0571,2.0646,7,2,0,0,0.9714,1,0.13,525.985,1350,1.5205,1,1,1,1
黑松,食品工業,1234,935,773,779,577,0.1266,4,0.007,809000,4.12,1,0.006,9166.63,15150.75,6256.43,0.16,14,3,3,0.214,0.92,1,0.8,2614,2614.8,0.01,1,1,1,1
興泰,食品工業,1235,492,410,395,406,0.3333,1,0.05,3310,0.0806,1,0.1345,919.2922,181.634,1895.0571,0.0268,7,3,1,0.1429,0.9881,0.5714,36.065,147.5725,183.6375,0.3963,1,1,1,1
宏亞,食品工業,1236,598,500,487,457,0.4722,6,0.0096,47513,0,1,0.263,2878.03,6477.88,1895.0571,5.31,6,3,3,0.5,0.9583,1,0,424.72,424.72,0,1,1,1,1
鮮活果汁-KY,食品工業,1256,1001,849.5,822,711,0.3415,24,0.0266,175016,48.586,1,0.1345,3076.73,15070.9,775.8442,0.0041,8,3,2,0.25,1,1,1.0241,1962.61,1963.63,0.0005,1,1,1,1
南僑,食品工業,1702,2853,2627,1009,729,0.375,0,0,1628537,0.0825,2,0.1345,74520.9,105527.38,4026.055,9.07,9,3,2,0.2222,0.6543,1,30,13912,13942,0.701,1,1,1,1
臺鹽,食品工業,1737,1128,954,950,872,0.26,484,0,12125453,58.649,2,0.003,34759.585,26275.02,698745.715,18.235,8,3,2,0.25,1,0.88,2.16,20067.615,623.48,4.2095,1,1,1,1
立萬利,食品工業,3054,1175,1003,947,824,0.33,0,0,6276683.5,29.4955,1,0.003,9005.315,19098.01,4026.055,0.0885,9,3,2,0.2222,0.9861,1,2.055,3979,2985.395,0.00715,1,1,1,1
台塑,塑膠工業,1301,1475,1276,1506,1403,0.0651,6,0.0009,24602210,17679.46,4,0,3966548,4668706,11332873,6205.4,15,4,2,0.13,0.9143,1,2928,235519,238447,113.18,1,1,1,1
南亞,塑膠工業,1303,1401,1242,1410,1369,0.0421,8,0.0007,20830240,0.0958,6,0,2499081,3636122,14868345,0.028,15,3,2,0.13,0.9778,1,6023.3,122868,128891.3,0.0006,1,1,1,1
台聚,塑膠工業,1304,1858,1609,1471,1318,0.0108,0,0,998098,4.002,2,0.25145,16383.8,131602.71,186.55,0.595,9,3,0,0,0.9778,1,22.23,868.59,890.82,0.0036,1,1,1,1
華夏,塑膠工業,1305,1366,1188,1190,1165,0.0333,4,0.006,2964600,2.62,4,0.25145,158309.26,227328.96,115778.29,0.34,9,3,0,0,0.9778,1,38.31,3401.9,3440.21,0.003,1,1,1,1
三芳,塑膠工業,1307,806,675,627,600,0.1,1,0.0013,165861,219.39,1,0.25145,10395.64,23791.92,117308.38,44.98,7,3,0,0,0.968,1,155.5,896.89,2153,2.85,1,1,1,1
亞聚,塑膠工業,1308,1714,1462,1439,1346,0.0312,0,0,508888,3.74,1,0.25145,10133.69,102834.27,231370.03,0.83,9,3,0,0,1,1,0,395.56,395.56,0.0029,1,1,1,1
台達化,塑膠工業,1309,1568,1353,1366,1280,0.1538,0,0,1110246,1.95,1,0.25145,14935,75481,115778.29,2.702,9,5,1,0.11,0.9815,0.8182,0,3587,3587,0.0068,1,1,1,1
台苯,塑膠工業,1310,1374,1117,1059,1018,0.2,2,0.0107,1427585,3.77,1,0.25145,331800.81,33435.71,115778.29,0.957,11,3,0,0,1,1,5.13,14367.38,14372.51,0.04,1,1,1,1
國喬,塑膠工業,1312,1916,1567,1590,1426,0.2727,0,0,2469000,135.93,1,0.25145,526801.99,14043.15,115778.29,29.21,7,3,1,0.1429,0.9643,1,21.72,8884.64,30077.09,1.66,1,1,1,1
聯成,塑膠工業,1313,1789,1544,1281,891,0.31,2,0.0089,142250,113.61,1,0.25145,28627.81,10938.5,117308.38,23.05965,10,3,0,0,1,1,311,1702,2013,1.52925,1,1,1,1
中石化,塑膠工業,1314,1395,1234,989,899,0.0592,1,0.0007,8856000,0.0003,1,0.0012,1703474,204332,1758458,0.0001,9,3,1,0.1111,0.9421,1,37654,49540,87194,0,1,1,1,1
達新,塑膠工業,1315,765,615,599,520,0.442,2,0.0056,4590,0.3417,1,0.0096,6350,3160,117308.38,0.73075,8,3,0,0,0.9683,1,0,133,133,0.0023,1,1,1,1
大洋,塑膠工業,1321,909,752,809,750,0.0806,4,0.0088,96.84,0.6834,1,0.25625,4313,41425,117308.38,0.3222,10,4,2,0.2,0.97,1,11.95,655.36,667.31,0.0046,1,1,1,1
永裕,塑膠工業,1323,701,596,597,513,0.2566,1,0.0014,146951,0.0376,1,0,543.99,33421.47,3246.73,0.0072,11,4,0,0,1,1,0,91.78,91.78,0.0001,1,1,1,1
地球,塑膠工業,1324,713,591,556,456,0.2963,0,0,39128.33,0,1,0.25625,6350,22292.5,117308.38,0.73075,5,3,0,0,1,1,97.98,89.25,187.23,0,1,1,1,1
恆大,塑膠工業,1325,560,452,473,389,0.5,0,0,79462.665,3.915,1,0.25145,4465.495,21232.635,880852.365,0.57325,7,3,3,0.4286,0.9796,0.1429,227.1175,1461.225,1688.345,0.10425,1,1,1,1
台化,塑膠工業,1326,1744,1515,1528,1435,0.0075,3,0.0002,32967200,13540,2,0,5398217.25,3265112.7,18701609.82,3423.77,15,3,1,0.067,0.92,1,61,286944,287005,118,1,1,1,1
再生-KY,塑膠工業,1337,636.5,521.5,514.5,422.5,0.1429,0,0,79462.665,3.915,1,0.25145,2703302.125,1637078.25,9352428.275,1712.45465,7,3,0,0,0.9643,1,227.1175,1461.225,1688.345,0.10425,1,1,1,1
勝悅-KY,塑膠工業,1340,636.5,521.5,514.5,422.5,0,0,0,79462.665,3.915,1,0.25145,2703302.125,1637078.25,9352428.275,1712.45465,7,3,1,0.1428,1,1,227.1175,1461.225,1688.345,0.10425,1,1,1,1
富林-KY,塑膠工業,1341,1174.5,998,877,640,0.22,11,0.0117,119797,7.83,3,0.5029,8387,9043.8,117308.38,1.1393,7,3,0,0,1,1,356.255,2833.2,3189.46,0.2085,1,1,1,1
炎洲,塑膠工業,4306,701,597,571,537,0.3,0,0,789684,45.98,1,0.25145,23019.98,73084.61,115778.29,5.59,5,3,0,0,1,0.8,11.115,632.075,13504.27,0.78,1,1,1,1
上曜,建材營造,1316,1401,1285,669,592,0.0714,0,0,769,4.655,4,0,151.516,134.974,99.21815,1.69,7,2,0,0,0.9841,1,0,408.75,2170.75,267.5005,1,1,1,1
華友聯,建材營造,1436,1187,1005,866,842,0.0741,1,0.0185,0.17,7.3993,1,0,87.223,52.96,99.21815,1.69,9,3,0,0,0.963,1,0,408.75,3782,267.5005,1,1,1,1
三地開發,建材營造,1438,843,724,468,443,0.4,0,0,1038.035,180.84565,1,0,3879.465,33848.095,582.931,4.01475,7,3,2,0.2857,0,0.4286,0,345.75,1957,0.01125,1,1,1,1
雋揚,建材營造,1439,1548,1280,911,898,0.125,0,0,232,185.035,1,0,87.223,120.487,99.21815,5.172,7,3,1,0.14,1,1,0,345.75,2170.75,267.5065,1,1,1,1
名軒,建材營造,1442,1237,1022,871,808,0.5,0,0,237,1.44,1,0,22.93,79.48,99.21815,0.048,7,3,2,0.2857,1,1,0,408.75,2170.75,267.5005,1,1,1,1
大將,建材營造,1453,727,598,498,479,0.25,0,0,1038.035,180.84565,1,0,3879.465,33848.095,582.931,4.01475,7,3,1,0.1429,0.96,0.1429,0,345.75,1957,0.01125,1,1,1,1
怡華,建材營造,1456,881,746,623,626,0.125,0,0,2075.9,361.18,1,0,7736,67643.23,99.21815,8.024,9,2,1,0.11,1,0.83,0,132,132,0.013,1,1,1,1
三洋實業,建材營造,1472,665,548,426,354,0.4,0,0,1038.035,180.84565,1,0,3879.465,33848.095,582.931,4.01475,7,3,1,0.1428,0.9206,0.5714,0,345.75,1957,0.01125,1,1,1,1
寶徠,建材營造,1805,1192,1042,727,654,0.2,0,0,232,180.84565,1,0,3879.465,79.48,582.931,4.01475,9,3,1,0.1111,0.9074,1,0,345.75,2170.75,0.01125,1,1,1,1
潤隆,建材營造,1808,1409,1196,991,850,0.2,0,0,227,3.1643,1,0,11.93,106,99.21815,0.02085,7,3,1,0.1429,0.9643,0.4286,0,559.5,559.5,0.00395,1,1,1,1
新美齊,建材營造,2442,1925,1061,1211,946,0.1667,0,0,2584,3.02865,2,0,48.45185,118.1769,63.50715,4.01285,7,3,0,0,1,1,0,195,268,0.007,1,1,1,1
國建,建材營造,2501,1434,1269,1042,941,0.2581,1,0.0066,1351,8.89,1,0,18.116,344.769,145.142,3.34,9,3,1,0.11,1,1,0,408.75,5351,535,1,1,1,1
國產,建材營造,2504,1454,1332,924,883,0.229,3,0.0049,153970,4.41565,2,0.016,40.22945,1425,4790.84,2.32,12,3,1,0.0833,1,1,0,408.75,19129,0.60975,1,1,1,1
國揚,建材營造,2505,1599,1334,1045,926,0.4286,0,0,291543,4.51935,1,0.016,261904.638,20699.5895,99.21815,2.116,9,3,1,0.11,1,1,0,189,2735.5,267.5005,1,1,1,1
太設,建材營造,2506,716,598,805,740,0.31,1,0.0135,610513.5,10.58065,1,0,814.255,35264.745,582.931,0.72775,9,3,1,0.11,0.96,1,0,195,16115.935,0.29475,1,1,1,1
全坤建,建材營造,2509,899,739,755,737,0.6667,0,0,115241,10.58065,1,0,30.34625,1342.32,582.931,0.72775,7,3,0,0,0.8571,0.4286,0,189,15252.195,0.29475,1,1,1,1
太子,建材營造,2511,1456,1263,869,856,0.354,0,0,243.869,2.46,2,0,11.93,5532.9,99.21815,0.056,14,2,2,0.14,0.95,1,0,408.75,1382.73,0.00395,1,1,1,1
中工,建材營造,2515,1160,1009,759,705,0.24,0,0,1667.5,7.3993,1,0.016,47.7725,497.5995,99.21815,1.69,9,3,1,0.1,0.93,1,0,408.75,13249.885,267.5005,1,1,1,1
新建,建材營造,2516,969,834,623,560,0.13,4,0.0056,115241,10.58065,1,0,30.34625,1483.76975,582.931,0.72775,7,2,2,0.29,0.8,1,0,189,2260.31,0.29475,1,1,1,1
冠德,建材營造,2520,2123,1856,1312,1105,0.3333,0,0,1324,4.51935,1,0,33.6236,214.7,99.21815,1.67085,9,3,3,0.3333,0.875,1,0,408.75,2682.78,267.5005,1,1,1,1
京城,建材營造,2524,1949,1598,1106,996,0.2857,0,0,496596.5,10.39935,1,0.016,832.3606,34137.125,99.21815,0.72585,7,3,1,0.1429,0.9179,0,0,339.75,13991.905,0.2905,1,1,1,1
宏璟,建材營造,2527,1414,1157,828,846,0.6,0,0,18553.9345,6.92,1,0,167.888,5419.15,582.931,0.558,11,3,4,0.3636,0.9127,0.4545,0,189,3376.925,267.54705,1,1,1,1
皇普,建材營造,2528,976,844,744,658,0,0,0,115241,10.58065,1,0,30.34625,1483.76975,582.931,0.72775,6,3,2,0.33,1,1,0,189,2260.31,0.29475,1,1,1,1
華建,建材營造,2530,1224,1059,1059,989,0.4,0,0,564.45,0.42,2,0,0.93,49.01,63.50715,0.04,7,3,0,0,0.9884,1,0,408.75,398.89,0.00395,1,1,1,1
宏盛,建材營造,2534,1179,1015,797,712,0.1071,0,0,1287.725,3.1643,1,0,24.35125,273.30475,63.50715,0.466,7,3,2,0.2857,0.9388,1,0,258,258,0.007,1,1,1,1
達欣工,建材營造,2535,1509,1316,1123,1073,0.085,2,0.003,2203,0.1487,1,0,49.1312,205.3538,53.2943,0.0017,7,3,0,0,0.9429,1,0,408.75,14.56,0.001,1,1,1,1
宏普,建材營造,2536,1066,900,1040,977,0.2857,0,0,944.225,0.46565,1,0,6.925,131.855,582.931,0.02275,7,3,4,0.5714,1,1,0,189,13320.33,0.0518,1,1,1,1
聯上發,建材營造,2537,1511,1331,951,946,0.625,0,0,77660.5,5.675,1,0.016,261904.638,884.8845,99.21815,2.83,7,3,3,0.4286,1,1,0,189,12240,267.5005,1,1,1,1
基泰,建材營造,2538,1535,1359,1266,1283,0,0,0,1777,4.51935,1,0.016,33.6236,31,99.21815,1.67085,11,3,1,0.0909,0.87,0.5455,0,408.75,2682.78,267.5005,1,1,1,1
櫻花建,建材營造,2539,1054,882,862,719,0.3333,2,0.0313,229158,0.5113,1,0.016,12.92,2469.94,4790.84,0.0055,7,3,3,0.4286,1,1,0,195,4262.62,0.0095,1,1,1,1
愛山林,建材營造,2540,3083,2831,2046,1415,0.1,0,0,496415.5,11.7615,1,0.016,832.3606,34046.917,4307.12715,0.7762,7,3,1,0.0014,0.83,0.3,0,339.75,13985.7758,0.29345,1,1,1,1
興富發,建材營造,2542,1388,1265,1062,770,0.4,0,0,2011,5.9086,1,0,48.45185,351.47665,99.21815,1.67085,7,3,1,0.1429,0.989,0.4286,0,195,136.28,267.5005,1,1,1,1
皇昌,建材營造,2543,819,645,613,472,0.142,9,0.009,610513.5,10.58065,1,0,814.255,35264.745,582.931,0.72775,7,3,2,0.28,0.97,1,0,195,16115.935,0.29475,1,1,1,1
皇翔,建材營造,2545,1401,1181,1127,877,0.175,0,0,1681,7.3993,1,0,261904.638,20699.5895,582.931,2.116,11,3,4,0.3636,1,0.18,0,189,2735.5,267.54705,1,1,1,1
根基,建材營造,2546,1084,966,929,865,0.09,4,0.0076,1324,4.5988,1,0,99.64425,214.7,99.21815,116.62,9,3,1,0.1111,0.8778,1,0,408.75,26241.77,267.5005,1,1,1,1
日勝生,建材營造,2547,1371,1141,932,835,0.3143,0,0,36864,11.38,2,0,317.66,5305.4,1020.72,1.06,7,3,0,0,1,1,0,408.75,5371.12,0.0941,1,1,1,1
華固,建材營造,2548,3302,2933,1657,1507,0.0018,0,0,962,2.873,2,0,25.0306,34.284,63.50715,0.1024,9,3,2,0.2222,0.9722,1,0,408.75,2.3016,0.0069,1,1,1,1
潤弘,建材營造,2597,1481,1293,1140,942,0.1129,1,0.001,581735,2.6665,1,0.016,523791.16,41054.41,4790.84,0.892,9,3,1,0.1111,0.9167,1,0,120,120,0.0082,1,1,1,1
鼎固-KY,建材營造,2923,1221.5,1068,1098.5,760.5,0.4019,0,0,991869,20.65,1,0.016,1615.59,68059.55,4790.84,1.45,11,3,3,0.2727,0.9772,0.8182,0,189,27969.25,0.58,1,1,1,1
夆典,建材營造,3052,972,827,668,626,0.13,0,0,610513.5,10.58065,1,0.016,814.255,35264.745,582.931,0.72775,7,3,2,0.2857,0.9821,0.4286,0,189,16115.935,0.29475,1,1,1,1
富華新,建材營造,3056,1471,1309,1529,895,0.5714,0,0,786802,10.39935,1,0.016,262703.375,54556.98,99.21815,1.171,8,3,3,0.375,0.9551,1,0,189,14044.625,0.2905,1,1,1,1
昇陽,建材營造,3266,1288,1112,1019,1024,0.2,0,0,786802,10.535,1,0.016,262703.375,54556.98,537.00715,1.171,6,3,0,0,0.9444,1,0,189,14044.625,0.33705,1,1,1,1
欣陸,建材營造,3703,2069,1475,768,707,0.08,1,0.0005,223453,8.32,8,0.032,352.35,30401.17,8560.96,1.1456,7,3,3,0.4286,1,1,0,195,32483.22,1.21,1,1,1,1
建國,建材營造,5515,1104,942,917,748,0.18,0,0,1499,3.75,2,0,6.09,170.5,109.431,0.44,13,3,0,0,0.93,1,0,408.75,23790.55,267.59,1,1,1,1
隆大,建材營造,5519,1583,1323,1028,955,0.051,1,0.0102,751.1445,3.5195,1,0.016,123.459,201.65,4317.34,116.62,7,3,0,0,1,1,0,189,54504.775,143.555,1,1,1,1
工信,建材營造,5521,712,594,709,585,0.05,0,0,23235,78.23,1,0,240.828,510.815,582.931,2.53,7,3,1,0.1429,1,1,0,408.75,85219,286.93,1,1,1,1
遠雄,建材營造,5522,2643,2350,1936,1729,0.38,0,0,3320,21.7,4,0,12.76,177.74,73.72,0.008,7,3,1,0.14,0.84,0.86,0,408.75,155.41,0.18,1,1,1,1
順天,建材營造,5525,899,751,759,777,0.3,0,0,12367,40.99,1,0.016,123.459,340.6575,4317.34,1.485,13,3,1,0.0769,0.862,0.2308,0,189,54504.775,144.07,1,1,1,1
鄉林,建材營造,5531,1134,986,707,608,0,0,0,3.289,3.289,1,0,3.51,232.8,99.21815,232.8,7,3,1,0.1429,0.9675,0.4286,0,408.75,12094.72,267.5005,1,1,1,1
皇鼎,建材營造,5533,1354,999,832,804,0.4545,0,0,751.1445,3.5195,1,0.016,123.459,201.65,4317.34,116.62,9,3,2,0.2222,1,0.3333,0,189,54504.775,144.07,1,1,1,1
長虹,建材營造,5534,1482,1288,946,913,0.12,0,0,751.1445,3.5195,1,0.016,123.459,201.65,4317.34,116.62,9,3,1,0.1111,0.8765,0,0,189,54504.775,144.07,1,1,1,1
永固-KY,建材營造,5546,1418,1143.5,889,858.5,0.22,0,0,1661.6445,12.4945,3,0.016,126.794,205.27,4317.34,116.404,7,3,2,0.29,1,1,0,189,42687.205,143.555,1,1,1,1
達麗,建材營造,6177,1258,1062,913,752,0.176,0,0,751.1445,3.5195,1,0.016,123.459,201.65,4317.34,116.62,7,3,1,0.1429,0.9333,1,0,189,54504.775,143.555,1,1,1,1
欣巴巴,建材營造,9906,1135,968,676,558,0.57,1,0.02,12367,40.99,3,0.016,32.6864,340.6575,4317.34,1.485,6,2,4,0.6667,0.9487,1,0,408.75,54504.775,143.555,1,1,1,1
三發地產,建材營造,9946,1205,1035,834,771,0.3448,2,0.0157,751.1445,3.5195,1,0.016,19.3882,201.65,4317.34,116.62,7,3,0,0,1,1,0,189,54504.775,143.555,1,1,1,1
東陽,汽車工業,1319,679,564,619,532,0.13,0,0,701176,51.06,1,0.31925,9736.21,49926.15,97,4.34,7,3,1,0.1429,1,0,392,3047,3439,0.25,1,1,1,1
廣華-KY,汽車工業,1338,778.5,658,609,541.5,0.274,0,0,560833,3.62,2,0.31925,1635.28,26860.57,0,0.0003,7,3,0,0,1,1,144.4,325.36,469.76,0.003,1,1,1,1
昭輝,汽車工業,1339,679,567,510,449,0.42,3,0.0112,100208,478.73145,2,0,871.995,6413.955,5919.875,0.30685,9,4,2,0.0222,0.9556,1,128.28,9.4,137.68,0.2301,1,1,1,1
瑞利,汽車工業,1512,634,513,537,492,0.1667,0,0,22827,7.675,1,0,2228,2726.06,5919.875,1.465,7,3,0,0,0.8776,0,4.7,187.945,102.595,0.3175,1,1,1,1
大億,汽車工業,1521,729,604,613,565,0.1222,0,0,9807,22.675,1,0.0384,1469.315,2287.765,5117.495,975.465,9,3,1,0.11,0.7556,0.6667,1.175,127.45,128.625,17.2625,1,1,1,1
堤維西,汽車工業,1522,668,549,575,525,0.2,16,0.01,108651,957.4,1,0,871.995,6413.955,5919.875,0.30685,9,3,0,0,0.963,1,0,585.51,585.51,5.16,1,1,1,1
耿鼎,汽車工業,1524,654,546,521,458,0.0816,4,0.0089,73107,0.0429,2,0,162.795,7074.52,5919.875,0.6102,10,2,1,0.1428,0.8286,0.3,0,209.83,209.83,0.0181,1,1,1,1
江申,汽車工業,1525,690,570,580,519,0.19,1,0.003,19584,15.35,2,0,991,2742,5919.875,2.93,9,2,1,0.1111,1,1,0,222.9,222.9,0.175,1,1,1,1
車王電,汽車工業,1533,673,563,596,510,0,0,0,30,30,1,0.00095,1947.63,1833.53,5919.875,1948,8,3,1,0.0909,1,1,2.35,32,34.35,34.35,1,1,1,1
和大,汽車工業,1536,800,644,636,607,0.0909,11,0.0119,149646,22.38,2,0.0768,1681.13,45534.31,10234.99,3.6494,13,3,3,0.23,0.9077,1,4.7,137.495,242.24,27.6022,1,1,1,1
倉佑,汽車工業,1568,691,557,570,526,0.26,5,0.012,16815,14.06,1,0,105.9379,4615.96,5919.875,3.9484,9,3,1,0.1111,0.918,1,8.55,398.93,407.48,0.3707,1,1,1,1
吉茂,汽車工業,1587,699,594,564,541,0.2759,0,0,45949,0.00095,2,0,1114,1814.995,5919.875,1.445,7,3,0,0,0.9524,1,12250,61360,73610,56.053,1,1,1,1
六暉-KY,汽車工業,2115,1225,1028,986,905.5,0.55,0,0,272650,7.58,1,0.3823,5243.295,10056.775,1544668.34,0.353,9,3,3,0.3333,0.9722,1,41.605,2060.295,2101.9,0.05975,1,1,1,1
裕隆,汽車工業,2201,1151,936,862,804,0.162,0,0,332346,10.9,4,0.6385,2605,7181,194,0.328,9,3,1,0.1111,0.926,1,5.98,2927.31,2933.29,0.0963,1,1,1,1
中華,汽車工業,2204,1299,1120,1110,1007,0.1353,3,0.0015,212954,4.26,4,0.1261,7881.59,12932.55,3089142.68,0.378,10,3,2,0.2,1,1,77.23,1193.28,1270.51,0.0232,1,1,1,1
三陽工業,汽車工業,2206,1091,922,912,898,0.01,8,0.0036,472862,319198,2,0.31925,10690.11,23140.59,6896.25,0.089,9,3,1,0.1111,0.9028,1,0,8161.09,8161.09,3357.79,1,1,1,1
和泰車,汽車工業,2207,3260,2894,2425,1936,0.07,0,0,18.253,32.4,4,0.0019,148.6,1311.8,5919.875,2.59,14,3,2,0.1429,1,1,0,71,71,0.13,1,1,1,1
裕日車,汽車工業,2227,1572,1293,1183,1126,0.128,0,0,1530,4.08,2,0.00095,162.33,919.87,5919.875,2.89,11,3,1,0.0909,0.9636,1,7.435,103.075,65.4,0.18,1,1,1,1
劍麟,汽車工業,2228,828,712,605,518,0.1053,0,0,11628.605,0.03145,2,0,31.43,4231.755,5117.495,0.00175,7,3,2,0.2857,0.95,1,9.4,152.99,162.39,0.46,1,1,1,1
為升,汽車工業,2231,838,737,642,574,0.0392,10,0.0233,1006.5,17.04,3,0,1054.98,1376.7,5919.875,975.445,7,3,2,0.2857,1,1,5.47,53.16,58.63,17.405,1,1,1,1
